funcao;categoria;assinatura_oficial;situacao;id_matriz;fonte
ConfigurarComportamentoIndexSearch;configuracao;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
ConfigurarFiltroBio;biometria;byte ConfigurarFiltroBio(int Inner, byte Habilitar);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ConfigurarInnerOffLine;configuracao;byte ConfigurarInnerOffLine();DECLARADA_NO_PRODUTO;EI-019;SDK 6.0.2.0 EasyInner.cs
ConfigurarInnerOnLine;configuracao;byte ConfigurarInnerOnLine();DECLARADA_NO_PRODUTO;EI-018;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitor1;configuracao;byte ConfigurarLeitor1(byte Operacao);DECLARADA_NO_PRODUTO;EI-014;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitor2;configuracao;byte ConfigurarLeitor2(byte Operacao);DECLARADA_NO_PRODUTO;EI-015;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeAcura;configuracao;byte ConfigurarLeitorProximidadeAcura();ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeHIDAbaTrack2;configuracao;byte ConfigurarLeitorProximidadeHIDAbaTrack2();ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeMotorolaAbaTrack2;configuracao;byte ConfigurarLeitorProximidadeMotorolaAbaTrack2();ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeSmartCard;configuracao;byte ConfigurarLeitorProximidadeSmartCard();ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeSmartCardAcura;configuracao;byte ConfigurarLeitorProximidadeSmartCardAcura();ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeWiegand;configuracao;byte ConfigurarLeitorProximidadeWiegand();ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeWiegandFacilityCode;configuracao;byte ConfigurarLeitorProximidadeWiegandFacilityCode();ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorWiegandFacilityCodeSemSeparador;configuracao;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
ConfigurarNivelLFD;configuracao;byte ConfigurarNivelLFD(byte NivelLFD);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ConfigurarRedeVerid;biometria;byte ConfigurarRedeVerid(int Inner, byte Envia, byte Recebe, byte BroadCast);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ConfigurarTimeoutIdentificacao;configuracao;byte ConfigurarTimeoutIdentificacao(byte TimeoutIdentificacao);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
ConfigurarTipoLeitor;configuracao;byte ConfigurarTipoLeitor(byte Tipo);DECLARADA_NO_PRODUTO;EI-013;SDK 6.0.2.0 EasyInner.cs
ConfigurarWiegandDoisLeitores;configuracao;byte ConfigurarWiegandDoisLeitores(byte Habilita, byte ExibirMensagem);ASSINATURA_CONHECIDA;EI-024;SDK 6.0.2.0 EasyInner.cs
CriarUsuarioLeitorVerid;biometria;byte CriarUsuarioLeitorVerid(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
DefinirCodigoEmpresa;configuracao;byte DefinirCodigoEmpresa(int Codigo);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
DefinirConfiguracaoTecladoOnLine;configuracao;byte DefinirConfiguracaoTecladoOnLine(byte Digitos, byte EcoDisplay, byte Tempo, byte PosicaoCursor);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
DefinirConfiguracoesFuncoes;configuracao;byte DefinirConfiguracoesFuncoes(byte Funcao, byte Catraca, byte Rele1, byte Rele2, byte Lista, byte Biometria);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
DefinirEntradasMudancaOffLine;configuracao;byte DefinirEntradasMudancaOffLine(byte Teclado, byte Leitor1, byte Leitor2, byte Catraca);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
DefinirEntradasMudancaOffLineComBiometria;biometria;byte DefinirEntradasMudancaOffLineComBiometria(byte Teclado, byte Leitor1, byte Leitor2, byte Verificacao ,byte Identificacao);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
DefinirEntradasMudancaOnLine;configuracao;byte DefinirEntradasMudancaOnLine(byte Entrada);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
DefinirEventoSensor;configuracao;byte DefinirEventoSensor(byte Sensor, byte Evento, byte Tempo);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
DefinirFormasPictogramasMillenium;configuracao;byte DefinirFormasPictogramasMillenium(byte Forma);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
DefinirFuncaoDefaultLeitoresProximidade;configuracao;byte DefinirFuncaoDefaultLeitoresProximidade(byte Funcao);ASSINATURA_CONHECIDA;EI-022;SDK 6.0.2.0 EasyInner.cs
DefinirFuncaoDefaultSensorBiometria;biometria;byte DefinirFuncaoDefaultSensorBiometria(byte Funcao);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
DefinirFuncaoSensor1;configuracao;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
DefinirLogicaRele;configuracao;byte DefinirLogicaRele(byte Logica);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
DefinirMensagemApresentacaoEntrada;configuracao;byte DefinirMensagemApresentacaoEntrada(byte ExibirData, string Mensagem);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
DefinirMensagemApresentacaoSaida;configuracao;byte DefinirMensagemApresentacaoSaida(byte ExibirData, string Mensagem);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
DefinirMensagemEntradaOffLine;configuracao;byte DefinirMensagemEntradaOffLine(byte ExibirData, string Mensagem);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
